1863,6,30,Tuesday,DWR_1863_06-26.jpg
NAIRN,30.05,54,5,0
ABERDEEN,30.06,55,5,0.16
LEITH,30.09,59,6,0.08
SHIELDS,30.12,57,5,0
SCARBOROUGH,30.07,58,4,0
GREENCASTLE,30.13,55,2,0
GALWAY,30.18,62,2,0
VALENTIA,30.19,57,2,0
QUEENSTOWN,30.21,57,1,0.49
LIVERPOOL,30.17,55,3,0.04
HOLYHEAD,30.14,57,3,0
PEMBROKE,30.22,56,4,0
PENZANCE,30.27,58,1,0
BREST,30.32,59,4,0
LORIENT,30.28,57,3,0
ROCHEFORT,30.32,57,999,0.16
PLYMOUTH,30.25,59,4,0
WEYMOUTH,30.23,59,4,0
PORTSMOUTH,30.19,55,4,0.07
LONDON,30.18,58,5,0
DOVER,30.21,999,5,0
YARMOUTH,30.13,58,9,0
HELDER,30.09,59,999,0
HELIGOLAND,30.04,58,2,0.05
